clean_number,event_number,axis_scatter,numb_pix,energy,size,Xc[0],Yc[0],con2,length[0],width[0],dist[0],dist[1],azwidth[1],miss[1],alpha[0],alpha[1],a_axis[0],b_axis[0],x_max_coord,y_max_coord,skewness_l,kurtosis_l,skewness_w,kurtosis_w,con1,con3,edge,source_x,source_y,x_ground,y_ground,tel_tet,tel_fi,source_tet,source_fi,Xmax,num_islands,con_selected_island
0,1,1,16,192.901,832.98,2.23357,-1.40533,0.372652,0.634054,0.111007,2.6389,2.658,0.112147,0.0678934,27.8553,1.46367,-1.73434,20.4681,2.1708,-1.25331,0.355691,240.314,-0.958922,0.631284,0.211274,0.527092,1,0.847506,0.862663,485.326,171.931,0.711023,6.18849,0.695834,-0.0716173,409.105,1,1
1,1,4,24,192.901,1309.87,-1.66687,1.59582,0.31,0.824038,0.152167,2.30762,2.61909,0.152272,0.0182752,27.8963,0.399797,-0.284031,9.30662,-1.6281,1.56664,0.752571,792.325,-0.24408,1.00014,0.157817,0.408815,1,0.847506,0.862663,-159.734,-333.339,0.711023,6.18849,0.695834,-0.0716173,409.105,1,1
2,1,7,19,192.901,436.955,0.2019,-2.95714,0.257525,0.883099,0.150648,2.96402,3.87397,0.150747,0.0243398,13.1391,0.359987,6.15157,-34.8187,0.3618,-2.50662,0.205684,691.866,-0.102124,0.877525,0.131199,0.37189,1,0.847506,0.862663,726.07,-160.236,0.711023,6.18849,0.695834,-0.0716173,409.105,1,1
3,2,7,9,30.2981,373.892,-0.581861,0.128021,0.48985,0.41091,0.118204,0.595778,1.60301,0.118272,0.0162605,40.2718,0.581205,0.528653,3.61213,-0.1809,0.313328,0.37961,37.1729,0.109816,0.323153,0.274419,0.698897,0,0.84283,0.862794,248.136,-67.7066,0.585524,7.02794,0.570295,0.772003,380.335,1,1
4,3,1,12,125.481,486.914,2.8937,2.26439,0.430994,0.461338,0.148835,3.67437,2.4839,0.150697,0.134349,6.79257,3.10053,0.606849,4.21516,2.7135,2.19329,-0.139526,61.5863,0.720436,1.40385,0.256415,0.576264,1,0.843026,0.862786,-328.19,221.475,0.588039,6.58316,0.572811,0.327123,411.241,1,1
5,3,3,33,125.481,2302.32,-1.07006,1.29276,0.395777,0.762125,0.15905,1.67818,1.96082,0.160332,0.0532258,39.2727,1.55547,-0.196401,8.97678,-0.7236,1.25331,1.27732,880.579,-0.162435,1.51792,0.230045,0.53929,1,0.843026,0.862786,14.4279,-233.471,0.588039,6.58316,0.572811,0.327123,411.241,1,1
6,4,3,22,65.454,780.799,1.9412,-1.85201,0.257381,0.840033,0.151755,2.68294,2.92929,0.151911,0.024444,24.7642,0.478122,-2.52794,25.3335,1.6281,-0.939984,0.411693,700.212,-0.239093,1.19905,0.129297,0.363466,1,0.840983,0.862813,226.906,219.562,0.546385,6.72066,0.531141,0.466453,552.444,1,1
7,4,5,7,65.454,117.461,2.86878,-1.7105,0.422481,0.429685,0.122806,3.34001,3.27626,0.127582,0.275146,25.7737,4.81747,-1.51537,21.8637,3.0753,-2.19329,-0.532358,45.6354,1.36218,0.399854,0.223657,0.599271,1,0.840983,0.862813,240.824,404.615,0.546385,6.72066,0.531141,0.466453,552.444,1,1
8,4,7,21,65.454,2118.49,0.742565,2.89962,0.366988,0.586994,0.159865,2.99319,2.03918,0.162349,0.102152,20.002,2.8714,-10.13,86.4162,0.7236,2.50662,0.472076,185.903,0.0859419,1.2148,0.216743,0.476756,0,0.840983,0.862813,-182.722,-98.7657,0.546385,6.72066,0.531141,0.466453,552.444,1,1
9,4,8,24,65.454,2293.81,2.50627,1.91378,0.355904,0.634497,0.168709,3.1534,1.96919,0.169683,0.0584474,6.8099,1.70084,0.590348,3.60043,1.9899,1.56664,0.497503,229.413,0.301576,1.7744,0.190217,0.481366,1,0.840983,0.862813,-158.417,89.376,0.546385,6.72066,0.531141,0.466453,552.444,1,1
10,5,2,11,50.9143,295.059,0.695656,-1.59202,0.439519,0.524483,0.128593,1.73737,2.45913,0.129521,0.0748375,28.7301,1.74392,11.1465,-77.4969,0.7236,-1.25331,0.202793,90.407,0.0167979,0.390048,0.276165,0.542244,0,0.840754,0.862827,414.988,93.8218,0.542004,6.55138,0.526758,0.297383,387.587,1,1
11,5,5,11,50.9143,243.566,2.93022,2.2977,0.332526,0.51859,0.15905,3.72366,2.5347,0.16131,0.13819,0.49805,3.12526,0.770197,0.338768,3.2562,2.50662,-0.225317,73.2132,-0.264753,1.0624,0.167704,0.496748,1,0.840754,0.862827,-330.118,240.573,0.542004,6.55138,0.526758,0.297383,387.587,1,1
12,6,4,16,71.6517,585.72,-1.46288,0.137456,0.335042,0.63629,0.13277,1.46933,2.41713,0.133174,0.040259,21.8742,0.954345,0.296334,4.73431,-0.9045,0.313328,0.347962,215.651,-0.122856,0.501182,0.176233,0.484919,0,0.842874,0.86272,93.3192,-321.439,0.587447,6.19389,0.57222,-0.0621273,420.021,1,1
13,6,9,13,71.6517,445.131,-0.484262,-1.39021,0.36547,0.638878,0.115797,1.47214,2.61476,0.116865,0.0656249,12.7341,1.43815,1.60412,-5.08623,-0.1809,-0.939984,0.477016,254.086,1.06837,0.577172,0.184267,0.545469,0,0.842874,0.86272,363.93,-223.752,0.587447,6.19389,0.57222,-0.0621273,420.021,1,1
14,7,2,6,21.8716,197.742,2.0799,-0.387917,0.651799,0.38252,0.0836857,2.11577,1.75847,0.0893496,0.147489,39.5806,4.81122,-1.19791,17.4429,1.9899,-0.313328,0.544604,28.685,0.673693,0.0958841,0.415162,0.795709,1,0.843744,0.862741,303.028,17.9093,0.611931,5.68603,0.596712,-0.570947,380.734,1,1
15,7,8,9,21.8716,564.941,-0.281732,1.36442,0.592062,0.339816,0.125111,1.39321,1.23223,0.125194,0.0177199,55.1323,0.823964,-0.428622,10.3123,0,1.25331,0.498611,16.4594,-0.00674711,0.514273,0.407168,0.749154,0,0.843744,0.862741,-169.444,-95.0479,0.611931,5.68603,0.596712,-0.570947,380.734,1,1
16,9,5,15,21.1437,522.428,-0.665223,1.72395,0.433258,0.511555,0.15905,1.84785,1.73883,0.159215,0.0258833,40.0623,0.852908,-0.55061,11.2577,-0.1809,1.56664,0.42597,85.2118,0.059634,1.30785,0.230208,0.566134,0,0.84532,0.862687,-162.316,-151.19,0.653973,6.05108,0.638768,-0.207357,455.599,2,0.960353
17,9,6,14,21.1437,1197.68,1.09735,0.628994,0.709341,0.237514,0.158448,1.26484,0.343705,0.167306,0.104347,89.6676,17.6737,-1.76831,21.3056,1.0854,0.626656,0.90182,9.57997,0.159108,2.48868,0.585133,0.772315,0,0.84532,0.862687,29.2022,14.2484,0.653973,6.05108,0.638768,-0.207357,455.599,1,1
18,10,0,34,110.345,6887.6,0.370652,0.0588273,0.662588,0.486149,0.133557,0.375292,0.932633,0.133712,0.0128554,49.7318,0.789788,1.64796,-4.57705,0.5427,0.313328,1.78897,234.571,0.546468,1.75534,0.39717,0.742973,0,0.843439,0.86274,104.6,-12.188,0.5973,6.64991,0.582076,0.393503,430.012,1,1
19,10,1,15,110.345,492.946,1.08748,-1.97364,0.273935,0.659935,0.147516,2.25341,2.84685,0.147989,0.0523357,24.9907,1.05337,-14.805,117.135,1.0854,-1.87997,0.0880616,257.169,0.49039,0.790675,0.146641,0.400744,0,0.843439,0.86274,432.42,200.448,0.5973,6.64991,0.582076,0.393503,430.012,1,1
